gene,temperature,n,score_combined,max_combined,min_combined
cdc45,30,1,1.2350556297579152,1.2350556297579152,-0.34739025977855764
cdc45,33,1,-0.34739025977855764,1.2350556297579152,-0.34739025977855764
cdc46,23,1,-1.3088404722882643,-1.3088404722882643,-4.678288718047521
cdc46,27,1,-1.8898176296549052,-1.3088404722882643,-4.678288718047521
cdc46,30,1,-2.2224398960672294,-1.3088404722882643,-4.678288718047521
cdc46,33,1,-4.678288718047521,-1.3088404722882643,-4.678288718047521
cdc47,23,2,-2.2054339257355675,-2.2054339257355675,-8.351140284548254
cdc47,27,2,-3.2727242771686464,-2.2054339257355675,-8.351140284548254
cdc47,30,2,-3.3782112390187153,-2.2054339257355675,-8.351140284548254
cdc47,33,2,-8.351140284548254,-2.2054339257355675,-8.351140284548254
cdc48,23,6,0.5743134843000499,0.5925113365539384,-4.106356587491128
cdc48,27,6,0.5925113365539384,0.5925113365539384,-4.106356587491128
cdc48,30,5,-1.4966817160965316,0.5925113365539384,-4.106356587491128
cdc48,33,3,-4.106356587491128,0.5925113365539384,-4.106356587491128
cdc5,30,3,2.2563810544397507,2.2563810544397507,2.2563810544397507
cdc6,23,1,-2.592126352234169,-2.592126352234169,-4.564539147667945
cdc6,27,1,-4.564539147667945,-2.592126352234169,-4.564539147667945
cdc60,30,1,0.6990803024153046,0.6990803024153046,0.6990803024153046
cdc7,23,2,-0.5865808352562578,-0.5865808352562578,-6.207312340095392
cdc7,27,2,-0.8761591900427727,-0.5865808352562578,-6.207312340095392
cdc7,30,2,-6.207312340095392,-0.5865808352562578,-6.207312340095392
cdc8,23,2,-1.398177112210559,-1.398177112210559,-8.33391516009733
cdc8,27,2,-8.33391516009733,-1.398177112210559,-8.33391516009733
cdc9,23,1,-0.12011568905546818,-0.12011568905546818,-12.049571416115123
cdc9,27,1,-0.3257450733121534,-0.12011568905546818,-12.049571416115123
cdc9,30,1,-1.2148687289881073,-0.12011568905546818,-12.049571416115123
cdc9,33,1,-12.049571416115123,-0.12011568905546818,-12.049571416115123
cef1,23,1,0.41264663212663943,1.6350447139036912,-0.14822477239239892
cef1,27,1,1.6350447139036912,1.6350447139036912,-0.14822477239239892
cef1,30,1,-0.14822477239239892,1.6350447139036912,-0.14822477239239892
ceg1,23,4,3.7016883171573673,4.244902177935348,-2.6975794159280473
ceg1,27,4,4.244902177935348,4.244902177935348,-2.6975794159280473
ceg1,30,2,0.11577159132909333,4.244902177935348,-2.6975794159280473
ceg1,33,2,-2.6975794159280473,4.244902177935348,-2.6975794159280473
cep3,23,2,-2.0937706845430313,-2.0937706845430313,-16.54765543788428
cep3,27,2,-3.502154077267758,-2.0937706845430313,-16.54765543788428
cep3,30,2,-6.493274175379822,-2.0937706845430313,-16.54765543788428
cep3,33,2,-16.54765543788428,-2.0937706845430313,-16.54765543788428
cet1,23,3,0.7310540578161454,0.7310540578161454,-7.739318546471136
cet1,27,3,-0.049911062028880356,0.7310540578161454,-7.739318546471136
cet1,30,1,-0.36909369469746556,0.7310540578161454,-7.739318546471136
cet1,33,1,-7.739318546471136,0.7310540578161454,-7.739318546471136
cft2,23,1,-0.6973168411047342,-0.4567175694936871,-0.9921889340284431
cft2,27,1,-0.4874342519251022,-0.4567175694936871,-0.9921889340284431
cft2,30,1,-0.4567175694936871,-0.4567175694936871,-0.9921889340284431
cft2,33,1,-0.9921889340284431,-0.4567175694936871,-0.9921889340284431
clf1,23,2,3.905143180727302,5.01705210631983,3.905143180727302
clf1,27,2,5.01705210631983,5.01705210631983,3.905143180727302
cmd1,23,4,-0.7243414416563512,-0.7243414416563512,-7.4467546631850565
cmd1,27,5,-1.6364420953162435,-0.7243414416563512,-7.4467546631850565
cmd1,30,5,-3.3979011769112346,-0.7243414416563512,-7.4467546631850565
cmd1,33,4,-7.4467546631850565,-0.7243414416563512,-7.4467546631850565
cns1,23,1,4.338992869418324,5.112053501382218,4.338992869418324
cns1,27,1,5.112053501382218,5.112053501382218,4.338992869418324
cof1,23,3,0.4821668716755155,0.4821668716755155,-0.4580530570561991
cof1,27,3,-0.4580530570561991,0.4821668716755155,-0.4580530570561991
cof1,30,2,-0.32484171105988735,0.4821668716755155,-0.4580530570561991
cof1,33,2,0.10995409041341776,0.4821668716755155,-0.4580530570561991
cog2,23,2,0.20346178329580097,0.20346178329580097,-14.49653853048566
cog2,27,2,-0.1614131104804845,0.20346178329580097,-14.49653853048566
cog2,30,2,-0.6752061189414841,0.20346178329580097,-14.49653853048566
cog2,33,2,-14.49653853048566,0.20346178329580097,-14.49653853048566
cog3,30,1,1.0161892573340918,3.8288092923403667,1.0161892573340918
cog3,33,1,3.8288092923403667,3.8288092923403667,1.0161892573340918
cop1,23,1,-2.397398643575946,-1.7702678074153537,-12.747007230614395
cop1,27,1,-2.297608438016973,-1.7702678074153537,-12.747007230614395
cop1,30,1,-1.7702678074153537,-1.7702678074153537,-12.747007230614395
cop1,33,1,-12.747007230614395,-1.7702678074153537,-12.747007230614395
cse4,23,2,-1.5963156418964572,-1.5963156418964572,-7.134663991415618
cse4,27,2,-2.70105976696836,-1.5963156418964572,-7.134663991415618
cse4,30,2,-3.4508038236593093,-1.5963156418964572,-7.134663991415618
cse4,33,2,-7.134663991415618,-1.5963156418964572,-7.134663991415618
ctf13,23,1,0.08012236221314518,0.08012236221314518,-6.096317865975175
ctf13,27,1,-0.05681849082816095,0.08012236221314518,-6.096317865975175
ctf13,30,1,-1.0865257022763222,0.08012236221314518,-6.096317865975175
ctf13,33,1,-6.096317865975175,0.08012236221314518,-6.096317865975175
ctf8,23,4,-1.3002158326945636,-1.3002158326945636,-3.3127776392267085
ctf8,27,4,-2.382363248915691,-1.3002158326945636,-3.3127776392267085
ctf8,30,4,-2.9794531858598936,-1.3002158326945636,-3.3127776392267085
ctf8,33,3,-3.3127776392267085,-1.3002158326945636,-3.3127776392267085
cus1,23,1,-0.2532834214385268,0.12095210637129009,-0.2532834214385268
cus1,27,1,0.12095210637129009,0.12095210637129009,-0.2532834214385268
dad2,23,1,0.1303832707598185,0.1303832707598185,-0.791889497499978
dad2,27,1,-0.178698455618434,0.1303832707598185,-0.791889497499978
dad2,30,1,-0.46255597442137497,0.1303832707598185,-0.791889497499978
dad2,33,1,-0.791889497499978,0.1303832707598185,-0.791889497499978
dam1,23,6,-0.6440725758627445,0.07474152058057755,-5.104409727409559
dam1,27,7,0.07474152058057755,0.07474152058057755,-5.104409727409559
dam1,30,9,-5.104409727409559,0.07474152058057755,-5.104409727409559
dam1,33,6,-1.4956890030804177,0.07474152058057755,-5.104409727409559
dbf2,23,3,0.8192583185893126,0.9199798813595835,-3.8388609330307304
dbf2,27,5,0.9199798813595835,0.9199798813595835,-3.8388609330307304
dbf2,30,4,-1.3933384976007213,0.9199798813595835,-3.8388609330307304
dbf2,33,5,-3.8388609330307304,0.9199798813595835,-3.8388609330307304
dbf4,23,4,-0.5610533968720142,-0.5610533968720142,-17.934444341844923
dbf4,27,5,-2.419502344707582,-0.5610533968720142,-17.934444341844923
dbf4,30,4,-5.491319054058193,-0.5610533968720142,-17.934444341844923
dbf4,33,3,-17.934444341844923,-0.5610533968720142,-17.934444341844923
dbp5,23,1,1.3166592063554274,3.832077386632436,1.3166592063554274
dbp5,27,1,1.662639205751663,3.832077386632436,1.3166592063554274
dbp5,30,1,1.4344668686446025,3.832077386632436,1.3166592063554274
dbp5,33,1,3.832077386632436,3.832077386632436,1.3166592063554274
dcp2,23,1,0.04770146912923632,0.15281890599302864,-0.03751140290933923
dcp2,27,1,-0.03751140290933923,0.15281890599302864,-0.03751140290933923
dcp2,30,1,0.15281890599302864,0.15281890599302864,-0.03751140290933923
dcp2,33,1,0.08219924440651087,0.15281890599302864,-0.03751140290933923
ded1,23,2,1.234829577259274,1.529967345372121,0.6197813734569273
ded1,27,2,1.529967345372121,1.529967345372121,0.6197813734569273
ded1,30,1,0.6197813734569273,1.529967345372121,0.6197813734569273
dfr1,30,1,-1.4165858059755225,-1.4165858059755225,-1.4165858059755225
dis3,23,1,2.5848615068702787,2.5848615068702787,1.0268823455363476
dis3,27,2,1.7174380716237156,2.5848615068702787,1.0268823455363476
dis3,30,2,1.0268823455363476,2.5848615068702787,1.0268823455363476
dna2,27,1,-3.605681722000929,-3.605681722000929,-3.605681722000929
dpb11,23,1,1.4951256122874013,1.4951256122874013,-0.8957319934614779
dpb11,27,1,0.7229480854181454,1.4951256122874013,-0.8957319934614779
dpb11,30,1,-0.8957319934614779,1.4951256122874013,-0.8957319934614779
dpb2,23,1,1.0354747062075056,1.0354747062075056,-1.3083257990341677
dpb2,27,1,0.91857724102109,1.0354747062075056,-1.3083257990341677
dpb2,30,1,-1.3083257990341677,1.0354747062075056,-1.3083257990341677
dpm1,23,2,1.835593097688946,1.835593097688946,1.835593097688946
dsn1,23,2,-0.769562731277003,-0.769562731277003,-10.221223539420453
dsn1,27,2,-1.6233846348895318,-0.769562731277003,-10.221223539420453
dsn1,30,2,-3.063131942489581,-0.769562731277003,-10.221223539420453
dsn1,33,2,-10.221223539420453,-0.769562731277003,-10.221223539420453
