strain_id,strain_name,temperature,size,control_size,log2_ratio,z
TS-1E16,nop1-3,23,0.5847323929670445,0.8246620001114524,-0.4959546416849514,-1.1159463722572556
TS-2M6,stu2-13,23,0.7672397590626764,1.0815874797848837,-0.4953463231812121,-1.1144403644847305
TS-1D5,gaa1-ts,23,0.9862839883667927,1.3899704955607455,-0.49493676287870386,-1.1134264203171542
TS-1H21,duo1-2,23,0.713287709830187,1.0046984819918165,-0.4941479232493063,-1.1114734982773906
TS-1F4,cdc36-16,30,0.3941857850630593,0.6320996489247155,-0.6811385352721263,-1.104245678717868
TS-3L10,pan1-4,23,0.6220901520276019,0.8740900724068248,-0.49059143429240254,-1.1026687356751144
TS-3H13,mtw1-ts,27,0.7715674410365828,1.0615946553337114,-0.4603177644461354,-1.1021431482356319
TS-5F4,rsc8-ts21,30,0.542135506377322,0.8685023098121563,-0.6797762031940181,-1.1015320803793118
TS-1K22,mps1-3796,30,0.4053551499794,0.6490823605055895,-0.6790814622815636,-1.1001482417278858
TS-3E20,cdc3-3,23,1.1127037143778187,1.5617664470862755,-0.4890719555044885,-1.098906977894085
TS-2I7,dsn1-8,27,0.7101098749186204,0.9757451931105156,-0.4584068785044981,-1.0963331084650123
TS-3K10,dbf4-1,27,0.5805550993692568,0.7968491580622309,-0.45680621110183034,-1.0914662867116087
TS-1C18,prp5-1,27,0.9478771776834711,1.3002390064986413,-0.45596355976903435,-1.088904209274315
TS-2H7,mob2-8,27,0.8464677939309617,1.1607201966198923,-0.4554470153654633,-1.0873336584305178
TS-1I21,ctf13-30,30,0.5687967415471914,0.9064642275823562,-0.6722424167911271,-1.0865257022763222
TS-2L13,stu1-6,23,0.5682298629447852,0.7944753706764731,-0.48345555121132855,-1.0850025043869522
TS-3M12,cdc28-1,27,0.9672199939498562,1.3253064821547944,-0.45436975632596854,-1.0840582573579864
TS-1O18,sec24-2,30,0.8184075963554859,1.3018249243483813,-0.6695785465748969,-1.0812195996681166
TS-1B12,cep3-1,23,0.6064002696745997,0.8467115379861416,-0.4815326396775899,-1.0802419723664936
TS-3H13,mtw1-ts,30,0.7599348740914584,1.205505163304548,-0.6656199777194474,-1.0733346162328552
TS-1E3,cdc42-1,27,1.0104164343287105,1.379619670982368,-0.44928238764893685,-1.0685901366830124
TS-1B11,sed5-1,23,0.8450121054754713,1.1752259349261185,-0.47584625751961074,-1.0661642553895752
TS-5F9,sln1-ts4,27,0.5196395047355322,0.7089536434516162,-0.44810605810366744,-1.0650135122009072
TS-3I20,cmd1-1,23,0.5172594224754732,0.7189501485059938,-0.4749254866058419,-1.0638847124456619
TS-1B22,arp3-f306g,23,0.7886333336038058,1.095605406346106,-0.47425044387741383,-1.062213516206274
TS-1M12,cdc28-1,27,0.5263850759357983,0.7176517991772026,-0.44709240549314627,-1.061931506178259
TS-3K5,rpo31-698,30,0.5548435179843009,0.8760780055741672,-0.6588830578015094,-1.0599154983906842
TS-3D12,cdc33-e72g,30,0.39786595330859514,0.627001675807679,-0.656054363976244,-1.054281087377487
TS-2M22,esa1-d414,23,0.5219045906680208,0.721876313728835,-0.46788901225246626,-1.046464586307434
TS-2I11,nnf1-17,27,0.6919046439189965,0.9399178333902752,-0.44190640733426106,-1.0461635030248813
TS-2I18,pkc1-1,27,0.840192802086929,1.141150317759165,-0.44165123066655776,-1.0453876395598853
TS-1H18,cdc43-2,23,0.7161764997215309,0.9902670615211546,-0.46744672343859495,-1.0453696165057649
TS-3F5,act1-122,30,0.758519850173096,1.191452319654735,-0.6513932729169901,-1.0449967659132116
TS-1B12,cep3-1,27,0.6972878935724108,0.9456492425448737,-0.4394963961995815,-1.0388358754386284
