A,n_a,P_a_est,ci95_a,Q,n_qa,P_qa_est,ci95_qa,P_q_diff,P_q_diff_ci95,P_q_diff_upr,P_q_diff_lwr
ptc2,65,0.9762826211570537,0.014622348118778926,gpx2,3,1.044583720894963,0.08183376102038935,0.06830109973790943,0.08312988335880758,0.15143098309671701,-0.01482878362089815
ptc2,65,0.9762826211570537,0.014622348118778926,hpc2,4,1.0119548062665675,0.08085618218335519,0.035672185109513865,0.08216772640017907,0.11783991150969293,-0.0464955412906652
ptc2,65,0.9762826211570537,0.014622348118778926,hrq1,8,0.9475774786281124,0.04224007811238507,-0.028705142528941296,0.044699410101780426,0.01599426757283913,-0.07340455263072172
ptc2,65,0.9762826211570537,0.014622348118778926,ina1,4,1.071833858328205,0.2202347971720142,0.09555123717115133,0.2207196841015884,0.3162709212727397,-0.12516844693043708
ptc2,65,0.9762826211570537,0.014622348118778926,irc21,5,0.9340351930254499,0.07221434545351055,-0.04224742813160376,0.07367988025089155,0.03143245211928779,-0.1159273083824953
ptc2,65,0.9762826211570537,0.014622348118778926,mlh1,4,1.0693643426480295,0.06700592705857038,0.09308172149097582,0.0685828500828393,0.16166457157381514,0.024498871408136516
ptc2,65,0.9762826211570537,0.014622348118778926,mlh3,7,0.938133204317685,0.0549615752248197,-0.03814941683936868,0.056873436819839474,0.018724019980470796,-0.09502285365920815
ptc2,65,0.9762826211570537,0.014622348118778926,mms1,2,0.9369978463167872,0.5409593821952497,-0.03928477484026649,0.541156970064669,0.5018721952244025,-0.5804417449049355
ptc2,65,0.9762826211570537,0.014622348118778926,mms2,5,0.9673633274231952,0.04475552277837275,-0.008919293733858469,0.047083647731162456,0.03816435399730399,-0.056002941465020925
ptc2,65,0.9762826211570537,0.014622348118778926,mms22,3,1.321193885860049,0.9080768210325365,0.34491126470299527,0.9081945419132753,1.2531058066162706,-0.56328327721028
ptc2,65,0.9762826211570537,0.014622348118778926,mph1,8,1.012482660216464,0.07419218849281929,0.03620003905941038,0.07561940159681763,0.11181944065622801,-0.03941936253740724
ptc2,65,0.9762826211570537,0.014622348118778926,mre11,4,0.8992581458085626,0.1152023365878181,-0.0770244753484911,0.11612661805029754,0.03910214270180644,-0.19315109339878866
ptc2,65,0.9762826211570537,0.014622348118778926,mus81,6,1.012051946111466,0.04191824215366899,0.03576932495441243,0.044395406178572,0.08016473113298443,-0.008626081224159574
ptc2,65,0.9762826211570537,0.014622348118778926,nup84,4,0.988916108246673,0.043661222899831764,0.01263348708961931,0.04604471141852831,0.05867819850814762,-0.033411224328909
