orf,gene,alleles,MATa_hit,TS_hit,tSNE1,tSNE2
YJR079W,yjr079w,yjr079w,FALSE,FALSE,10.521341706091667,5.896890003393842
YJR084W,yjr084w,yjr084w,FALSE,FALSE,-0.6565761859982868,-11.60150755392203
YJR087W,yjr087w,yjr087w,FALSE,FALSE,-20.58207745823286,2.685704360881468
YJR096W,yjr096w,yjr096w,FALSE,FALSE,1.0753954792929683,8.532576517828414
YJR098C,yjr098c,yjr098c,FALSE,FALSE,0.7648144538777231,3.894667360709796
YJR107W,yjr107w,yjr107w,FALSE,FALSE,9.878211127160414,-8.014075873767021
YJR111C,yjr111c,yjr111c,FALSE,FALSE,-6.307270993865237,24.239967823298446
YJR115W,yjr115w,yjr115w,FALSE,FALSE,-17.011528504185673,-11.984753952829495
YJR120W,yjr120w,yjr120w,FALSE,FALSE,-5.097603046913333,-10.346607231382146
YJR124C,yjr124c,yjr124c,FALSE,FALSE,-16.155671402035097,-18.371830314869957
YJR128W,yjr128w,yjr128w,FALSE,FALSE,-12.186465652294677,-20.301926181888515
YJR142W,yjr142w,yjr142w,FALSE,FALSE,10.923467038195005,-9.766979510218704
YJR146W,yjr146w,yjr146w,FALSE,FALSE,8.026062378722257,4.022929503862299
YJR149W,yjr149w,yjr149w,FALSE,FALSE,-11.840696028435604,-1.8386216067995416
YJR154W,yjr154w,yjr154w,FALSE,FALSE,-3.0286730747186033,-10.683644110034104
YKL094W,yju3,yju3,FALSE,FALSE,-5.169760771906066,3.784285270945338
YLR200W,yke2,yke2,FALSE,FALSE,32.569185200004995,1.7984922853682583
YIL023C,yke4,yke4,FALSE,FALSE,1.1153551096254248,-14.07594089969142
YKL023W,ykl023w,ykl023w,FALSE,FALSE,0.3450415137121741,-8.548907385614894
YKL030W,ykl030w,ykl030w,FALSE,FALSE,-4.7123970870321275,-13.722976986267167
YKL044W,ykl044w,ykl044w,FALSE,FALSE,7.44399078446338,1.3362083386115358
YKL050C,ykl050c,ykl050c,FALSE,FALSE,17.893571548452854,0.18355486057072373
YKL053W,ykl053w,ykl053w,FALSE,FALSE,28.907012259472047,-1.3915744486574755
YKL063C,ykl063c,ykl063c,FALSE,FALSE,-4.215670249367897,16.0104582909246
YKL066W,ykl066w,ykl066w,FALSE,FALSE,-4.7760586908150735,3.0373779742164273
YKL069W,ykl069w,ykl069w,FALSE,FALSE,-5.494208058692694,-12.453851205249677
YKL070W,ykl070w,ykl070w,FALSE,FALSE,-7.1090425848894565,-18.73251850830203
YKL071W,ykl071w,ykl071w,FALSE,FALSE,-9.547683118485931,2.420803489188543
YKL075C,ykl075c,ykl075c,FALSE,FALSE,12.023156390622143,-24.269911394942337
YKL077W,ykl077w,ykl077w,FALSE,FALSE,16.968777775511537,-3.8640074079571343
YKL091C,ykl091c,ykl091c,FALSE,FALSE,-9.082729100713939,-7.328244106389753
YKL097C,ykl097c,ykl097c,FALSE,FALSE,11.642134619845667,4.47749392172792
YKL102C,ykl102c,ykl102c,FALSE,FALSE,-6.67593944992769,1.4257411570413014
YKL107W,ykl107w,ykl107w,FALSE,FALSE,-4.874765370706241,-6.911275016651914
YKL115C,ykl115c,ykl115c,FALSE,FALSE,-13.22071621527818,-23.869181310278982
YKL123W,ykl123w,ykl123w,FALSE,FALSE,3.7860122175775666,3.247376369147919
YKL131W,ykl131w,ykl131w,FALSE,FALSE,-8.01299234364361,2.1358780159019615
YKL133C,ykl133c,ykl133c,FALSE,FALSE,2.012560835451354,17.73179923994145
YKL136W,ykl136w,ykl136w,FALSE,FALSE,-17.81652782079655,8.311155281883961
YKL147C,ykl147c,ykl147c,FALSE,FALSE,11.05882836261197,2.46468969968562
YKL151C,ykl151c,ykl151c,FALSE,FALSE,-2.2884923308128964,17.79920490899108
YKL162C,ykl162c,ykl162c,FALSE,FALSE,6.424207099736768,-11.070271718903077
YKL177W,ykl177w,ykl177w,FALSE,FALSE,11.424384693514817,4.566216773101485
YKL202W,ykl202w,ykl202w,FALSE,FALSE,-9.655223353089752,-18.40074958809733
YKL222C,ykl222c,ykl222c,FALSE,FALSE,-7.45333428734679,-24.229454630026005
YKR005C,ykr005c,ykr005c,FALSE,FALSE,14.18785609233419,-14.059864185808216
YKR011C,ykr011c,ykr011c,FALSE,FALSE,1.9393643874816646,7.142845965095725
