A,n_a,P_a_est,ci95_a,C,n_ac,P_ac_est,ci95_ac,P_c_diff,P_c_diff_ci95,P_c_diff_upr,P_c_diff_lwr
sin3,68,0.042508364730041624,0.06312258013060658,50,9,0.11052315831112527,0.14615000949970358,0.06801479358108364,0.15919888629983658,0.22721367988092023,-0.09118409271875294
sin3,68,0.042508364730041624,0.06312258013060658,60,13,0.14667196418469866,0.2447432212057155,0.10416359945465703,0.2527522590373717,0.3569158584920287,-0.14858865958271467
sin3,68,0.042508364730041624,0.06312258013060658,80,39,0.04471137242422257,0.10286395375021731,0.0022030076941809487,0.12068741899415901,0.12289042668833997,-0.11848441129997805
sin3,68,0.042508364730041624,0.06312258013060658,100,5,0.12769625148759775,0.3544786488393169,0.08518788675755612,0.36005495775685775,0.44524284451441387,-0.27486707099930163
sin3,68,0.042508364730041624,0.06312258013060658,125,4,NA,NA,NA,NA,NA,NA
sis2,48,0.8199788624045568,0.024539121036777863,5,25,0.8170737601112755,0.02670844605448884,-0.0029051022932812254,0.03626995384478969,0.033364851551508465,-0.039175056138070916
sis2,48,0.8199788624045568,0.024539121036777863,10,33,0.7904542516285976,0.033703905228258675,-0.029524610775959137,0.04169078661878517,0.012166175842826032,-0.0712153973947443
sis2,48,0.8199788624045568,0.024539121036777863,20,4,0.7371489092244817,0.14468456024987023,-0.08282995318007502,0.1467507766110829,0.06392082343100788,-0.22958072979115793
sis2,48,0.8199788624045568,0.024539121036777863,25,42,0.7790716918157797,0.031785422601112036,-0.04090717058877702,0.040155716295303685,-7.514542934733345e-4,-0.0810628868840807
sis2,48,0.8199788624045568,0.024539121036777863,30,4,0.7283347404796189,0.17568379098145248,-0.09164412192493787,0.17738929752065744,0.08574517559571956,-0.26903341944559533
sis2,48,0.8199788624045568,0.024539121036777863,35,11,0.7478374647849454,0.09967254190576529,-0.07214139761961136,0.10264883862574467,0.030507441006133312,-0.17479023624535603
sis2,48,0.8199788624045568,0.024539121036777863,40,23,0.7159753503294946,0.03896212939081265,-0.1040035120750622,0.046045803152123005,-0.057957708922939194,-0.1500493152271852
sis2,48,0.8199788624045568,0.024539121036777863,50,5,0.7165029967644436,0.07303691740007581,-0.10347586564011313,0.07704907374240869,-0.026426791897704444,-0.18052493938252182
sis2,48,0.8199788624045568,0.024539121036777863,60,11,0.677460735860912,0.06721521526767822,-0.1425181265436447,0.07155454999326008,-0.07096357655038463,-0.2140726765369048
sis2,48,0.8199788624045568,0.024539121036777863,80,33,0.6159529097831795,0.04051772271496328,-0.20402595262137724,0.04736933940075885,-0.15665661322061838,-0.25139529202213606
sis2,48,0.8199788624045568,0.024539121036777863,100,5,0.37419998518481806,0.09115850223157697,-0.4457788772197387,0.09440360687157062,-0.35137527034816807,-0.5401824840913093
sis2,48,0.8199788624045568,0.024539121036777863,125,4,NA,NA,NA,NA,NA,NA
sla1,68,1.024246484623079,0.0256635645201294,2.5,4,0.9776948015336102,0.11050385179135623,-0.046551683089468776,0.11344478747216581,0.06689310438269704,-0.15999647056163457
sla1,68,1.024246484623079,0.0256635645201294,5,29,1.0544878661949082,0.028181179270376465,0.030241381571829207,0.03811557960923513,0.06835696118106434,-0.0078741980374059245
sla1,68,1.024246484623079,0.0256635645201294,10,39,1.017984470593202,0.02235788091483674,-0.006262014029877028,0.03403664764457372,0.02777463361469669,-0.040298661674450745
sla1,68,1.024246484623079,0.0256635645201294,20,4,0.9750913592471104,0.11044337736509728,-0.049155125375968556,0.11338588160652158,0.06423075623055302,-0.16254100698249013
sla1,68,1.024246484623079,0.0256635645201294,25,62,0.9641106426990443,0.022244559599909227,-0.06013584192403465,0.03396231699505731,-0.026173524928977343,-0.09409815891909196
sla1,68,1.024246484623079,0.0256635645201294,30,4,0.9277401433901002,0.13682329629408005,-0.09650634123297874,0.1392093134551581,0.042702972222179364,-0.23571565468813685
sla1,68,1.024246484623079,0.0256635645201294,35,12,0.903322604185248,0.06260682790107851,-0.12092388043783098,0.06766264437423435,-0.05326123606359663,-0.18858652481206534
sla1,68,1.024246484623079,0.0256635645201294,40,31,0.912305073905167,0.037535688458341696,-0.11194141071791197,0.04547028097472602,-0.06647112974318595,-0.157411691692638
sla1,68,1.024246484623079,0.0256635645201294,50,9,0.8931999767791197,0.06277924300995257,-0.13104650784395933,0.06782220799105204,-0.06322429985290728,-0.19886871583501137
sla1,68,1.024246484623079,0.0256635645201294,60,13,0.7812886571958867,0.06680910751427724,-0.2429578274271923,0.07156867604429398,-0.1713891513828983,-0.31452650347148625
sla1,68,1.024246484623079,0.0256635645201294,80,39,0.6888797389606419,0.04994944526446032,-0.33536674566243707,0.056156616939646235,-0.27921012872279083,-0.3915233626020833
sla1,68,1.024246484623079,0.0256635645201294,100,5,0.4575953672695268,0.15729625275423417,-0.5666511173535522,0.1593760636808513,-0.4072750536727009,-0.7260271810344036
sla1,68,1.024246484623079,0.0256635645201294,125,4,NA,NA,NA,NA,NA,NA
slt2,48,0.8924203918703025,0.04096078212388588,5,25,0.8677245258944138,0.05429118402744636,-0.024695865975888687,0.06800969295109702,0.04331382697520833,-0.0927055589269857
slt2,48,0.8924203918703025,0.04096078212388588,10,33,0.8542125416002738,0.036089117537793064,-0.03820785027002871,0.0545913003770481,0.016383450107019394,-0.0927991506470768
slt2,48,0.8924203918703025,0.04096078212388588,20,4,0.8813349989466905,0.25588865124459775,-0.011085392923611992,0.25914626662944584,0.24806087370583385,-0.27023165955305783
slt2,48,0.8924203918703025,0.04096078212388588,25,42,0.8488617092349243,0.023806617010876274,-0.04355868263537821,0.0473765837276496,0.0038179010922713905,-0.09093526636302782
slt2,48,0.8924203918703025,0.04096078212388588,30,4,0.9072109984872448,0.33605149026730924,0.014790606616942314,0.3385386089991508,0.3533292156160931,-0.32374800238220847
slt2,48,0.8924203918703025,0.04096078212388588,35,11,0.8091026390673285,0.06231763128003496,-0.08331775280297404,0.07457394210147966,-0.008743810701494381,-0.1578916949044537
slt2,48,0.8924203918703025,0.04096078212388588,40,23,0.8236112769912397,0.04657458467488495,-0.06880911487906283,0.062024008334180376,-0.006785106544882451,-0.1308331232132432
slt2,48,0.8924203918703025,0.04096078212388588,50,5,0.8565096709118006,0.07848005387420451,-0.035910720958501896,0.08852629286431513,0.05261557190581323,-0.12443701382281702
slt2,48,0.8924203918703025,0.04096078212388588,60,11,0.7804380745547421,0.0406073207227336,-0.11198231731556041,0.05767790017397824,-0.05430441714158217,-0.16966021748953863
slt2,48,0.8924203918703025,0.04096078212388588,80,33,0.7484565256439605,0.038914301514142574,-0.14396386622634205,0.05649874807935171,-0.08746511814699034,-0.20046261430569376
slt2,48,0.8924203918703025,0.04096078212388588,100,5,0.49709372507172955,0.21847252123700273,-0.395326666798573,0.2222791672826157,-0.17304749951595727,-0.6176058340811887
slt2,48,0.8924203918703025,0.04096078212388588,125,4,NA,NA,NA,NA,NA,NA
slx1,67,0.9542861005824365,0.01866713470160175,2.5,4,0.9765949880277345,0.10975476608378412,0.02230888744529802,0.11133090584412719,0.1336397932894252,-0.08902201839882917
slx1,67,0.9542861005824365,0.01866713470160175,5,28,0.9574821493259493,0.025446071695130523,0.0031960487435128693,0.03155890496645071,0.03475495370996358,-0.02836285622293784
slx1,67,0.9542861005824365,0.01866713470160175,10,38,0.957945003482695,0.030678561304891522,0.0036589029002584983,0.03591150291627645,0.03957040581653495,-0.03225260001601795
slx1,67,0.9542861005824365,0.01866713470160175,20,4,0.9639055595995532,0.10603465467675222,0.009619459017116694,0.10766526789260238,0.11728472690971907,-0.09804580887548568
slx1,67,0.9542861005824365,0.01866713470160175,25,61,0.9507158364747004,0.022686619167473866,-0.0035702641077360875,0.029379322783511144,0.025809058675775057,-0.03294958689124723
slx1,67,0.9542861005824365,0.01866713470160175,30,4,0.9463049670708453,0.11449887377003262,-0.007981133511591132,0.11601057715817817,0.10802944364658704,-0.1239917106697693
slx1,67,0.9542861005824365,0.01866713470160175,35,12,0.9068163717309018,0.08033266820182242,-0.047469728851534665,0.08247302285227476,0.03500329400074009,-0.12994275170380942
slx1,67,0.9542861005824365,0.01866713470160175,40,30,0.9503243626857709,0.032972608279930295,-0.00396173789666554,0.03789003582407217,0.03392829792740663,-0.04185177372073771
slx1,67,0.9542861005824365,0.01866713470160175,50,9,0.9094128424074404,0.045187293752928966,-0.0448732581749961,0.048891240878926746,0.004017982703930646,-0.09376449905392284
slx1,67,0.9542861005824365,0.01866713470160175,60,15,0.9156706739464666,0.037301223319828915,-0.03861542663596984,0.04171142744049276,0.003096000804522922,-0.0803268540764626
slx1,67,0.9542861005824365,0.01866713470160175,80,38,0.9152845303771439,0.03112706893306032,-0.0390015702052926,0.03629540381826924,-0.0027061663870233607,-0.07529697402356184
slx1,67,0.9542861005824365,0.01866713470160175,100,5,0.895208044011946,0.07863126148034037,-0.05907805657049048,0.08081668887029092,0.021738632299800442,-0.1398947454407814
slx1,67,0.9542861005824365,0.01866713470160175,125,4,NA,NA,NA,NA,NA,NA
slx4,67,0.6441703459703595,0.11171493253258784,2.5,4,0.009762987380277111,0.017435409138295912,-0.6344073585900823,0.11306732349613846,-0.5213400350939439,-0.7474746820862208
slx4,67,0.6441703459703595,0.11171493253258784,5,29,0.6008818554297413,0.18313564031311766,-0.04328849054061823,0.2145201363594016,0.17123164581878336,-0.2578086269000198
slx4,67,0.6441703459703595,0.11171493253258784,10,38,0.6573424594851243,0.15693823468064871,0.013172113514764772,0.19263913323994952,0.2058112467547143,-0.17946701972518475
slx4,67,0.6441703459703595,0.11171493253258784,20,4,0.9706481229147188,0.13437915911384976,0.3264777769443593,0.17475120759212512,0.5012289845364845,0.1517265693522342
slx4,67,0.6441703459703595,0.11171493253258784,25,61,0.5823703450427071,0.11519661091654018,-0.061800000927652365,0.1604695775448337,0.09866957661718134,-0.22226957847248607
slx4,67,0.6441703459703595,0.11171493253258784,30,4,0.9472027849677676,0.13504405166945724,0.30303243899740806,0.17526300819643514,0.4782954471938432,0.12776943080097292
slx4,67,0.6441703459703595,0.11171493253258784,35,12,0.5171701353157042,0.25391227563171204,-0.12700021065465528,0.2774016399865638,0.15040142933190853,-0.4044018506412191
