strain_id,strain_name,size,control_size,log2_ratio,z
rec1798,yor022c,0.23728317666753942,0.5060609688010317,-1.0927013898766296,-1.565688681765666
rec7545,bim1,0.536545388745127,1.1434688405143658,-1.0916449276913505,-1.5636287836911924
rec2720,ahp1,0.6682510530074166,1.4223769012181302,-1.089841689798087,-1.5601128166117175
rec1111,snz2,0.5720387909274418,1.2169350791872566,-1.0890673184455033,-1.5586029414071516
rec6511,bul2,0.4996116771089478,1.0621232625557142,-1.0880721032430212,-1.556662463169648
rec7276,wwm1,0.6297953614174964,1.3378826631269738,-1.086996555395332,-1.5545653517241742
rec4153,qri5,0.3698393434755769,0.7846937966552989,-1.0852310884435616,-1.5511230307162172
rec2275,his5,0.7129928436470013,1.5104207640928482,-1.082991001565202,-1.5467552921339152
rec3125,atp1,0.28917411563984924,0.6122417755992687,-1.0821630683129326,-1.5451409815263928
rec2406,mrpl23,0.45868138087933014,0.969913746784454,-1.0803641102339794,-1.5416333592616969
rec1433,apq12,0.37091172858462274,0.7840543012406749,-1.0798776865530382,-1.5406849266365534
rec2448,thi72,0.6469903655055921,1.3592944687019464,-1.071041892062086,-1.5234568267462125
rec2414,pet123,0.49209317717931567,1.0336268923741265,-1.0707120920293192,-1.5228137801119608
rec872,mrpl33,0.3237734246270697,0.6789688047360594,-1.0683607174121166,-1.5182290518426174
rec2269,hpm1,0.7229744453034574,1.5159249618869772,-1.068181783226425,-1.5178801645944988
rec1051,cin2,0.629220772159067,1.3186176517972168,-1.0673880957308064,-1.5163326266260415
rec3865,nrp1,0.252889869444597,0.5292667668843736,-1.065485823744782,-1.512623562112671
rec5714,tda8,0.6114911884738303,1.2761153360446644,-1.0613551116851538,-1.5045694680462707
rec2287,met18,0.468692716514731,0.9780882201678907,-1.0613222216305453,-1.504505338765449
rec2995,sws2,0.1988883100746286,0.41445298169087397,-1.059249959720573,-1.5004648265941314
rec2018,ynl194c,0.559460378865468,1.1655074354731296,-1.0588503404345992,-1.4996856458442949
rec3144,hhf1,0.49254908072615555,1.024728684367391,-1.0569025842682538,-1.4958878959271609
rec934,oca5,0.6052838907938926,1.257779979585953,-1.055195716773186,-1.4925598325894818
rec5604,ski3,0.17542078179314477,0.3635480130365499,-1.0513262390222438,-1.4850150951824554
rec5001,ykl151c,0.46736085032034946,0.9663235099938825,-1.0479693735242777,-1.478469853079256
rec6901,yjr087w,0.8121435778136662,1.6776456394270545,-1.0466313075432916,-1.4758608817633316
rec6573,jlp2,0.3861554664484871,0.7972963836261313,-1.0459343309156155,-1.4745019113871949
rec4795,mrps35,0.2510644375094991,0.5177738733671399,-1.0442644794913811,-1.4712460222684296
rec4396,scw11,0.3051272116830064,0.6289068547733069,-1.0434355130660107,-1.4696296971720677
rec6937,mgm101,0.41103550868172517,0.8464939894540323,-1.042236792931917,-1.4672924234575335
rec5370,lap2,0.5691456634164327,1.1720045183749406,-1.0421082928969576,-1.4670418731034642
rec1139,bxi1,0.6668816529646503,1.368974594355843,-1.037593009305718,-1.4582379385141355
rec5333,mrp7,0.40443367251229506,0.8275576054869668,-1.0329566212614598,-1.4491978735331477
rec7243,ynl120c,0.4039489925165689,0.825864546329903,-1.0317320459396748,-1.4468101871752812
rec3878,ydl180w,0.5552792569674516,1.1305500554542385,-1.0257394605944516,-1.435125798291563
rec1166,caf120,0.7931509233884042,1.6140295557122022,-1.0249996791732487,-1.4336833668005917
