from,to,any_sig,EMAP_diff
apq12,rad5,FALSE,0.02500583058789696
apq12,rad50,TRUE,-0.32993950734717037
apq12,rad51,FALSE,-0.01888403742744138
apq12,rad52,FALSE,-0.11245286530542531
apq12,rad54,FALSE,-0.04221604887126906
apq12,rad55,FALSE,0.008327730492744045
apq12,rad57,TRUE,-0.11312396671750635
apq12,rad6,TRUE,-0.5873389294472982
apq12,rad61,FALSE,-0.04029791237759173
apq12,rdh54,FALSE,0.055140083098216386
apq12,rev1,FALSE,0.034709408403536424
apq12,rev3,FALSE,-0.03696727089298013
apq12,rev7,FALSE,-0.05843978544719863
apq12,rph1,FALSE,-0.11669931744044426
apq12,rrm3,FALSE,-0.021207446409716058
apq12,rtt101,TRUE,-0.12709086853977297
apq12,rtt107,FALSE,-0.034744537109570595
apq12,rtt109,FALSE,0.08509243283509926
apq12,saw1,TRUE,-0.06467724993027157
apq12,sgs1,TRUE,-0.07779033011407277
apq12,shu1,FALSE,-0.06251156619171738
apq12,shu2,TRUE,-0.23151237542330744
apq12,sin4,FALSE,-0.010289629170482817
apq12,siz1,FALSE,-0.03273503840148251
apq12,sky1,TRUE,0.2572328364653633
apq12,slx4,FALSE,-0.018471550991661867
apq12,slx5,FALSE,-0.04853817943998928
apq12,slx8,TRUE,-0.130548570672407
apq12,snf2,TRUE,-0.570519213290339
apq12,sod1,TRUE,-0.6142579601524972
apq12,srs2,TRUE,-0.14978952555951103
apq12,swi4,TRUE,-0.253404947770994
apq12,tdp1,FALSE,0.07431156522385396
apq12,top3,FALSE,6.991724646314701e-4
apq12,trm10,FALSE,0.0795997817794325
apq12,ubc13,FALSE,-0.044188673762289965
apq12,vps41,TRUE,-0.2432935308322144
apq12,wss1,FALSE,0.06059584816705188
apq12,xrs2,TRUE,-0.13950764724417924
apq12,yku70,FALSE,-0.05177092291557328
apq12,yps1,FALSE,-0.03239816785030347
arp6,asf1,FALSE,-0.5678064782986685
arp6,csm2,FALSE,-0.27523654697319144
arp6,csm3,FALSE,-0.24586468053653687
arp6,ctf18,FALSE,-0.09551701791006417
arp6,ctf4,FALSE,-0.19377377531082518
arp6,dbf2,FALSE,-0.5522974745740205
arp6,dcc1,TRUE,-0.8653374666513548
arp6,ddc1,FALSE,-0.05114306749282305
arp6,dia2,TRUE,-0.8570421016776408
arp6,erg2,FALSE,-0.41702347447437016
arp6,esc2,FALSE,-0.16481523701285627
arp6,exo1,FALSE,0.10298374591769022
arp6,gpx2,FALSE,-0.039551839984391934
arp6,hpc2,FALSE,0.09730100255171326
arp6,hrq1,FALSE,0.002707104314206177
arp6,ina1,FALSE,0.24583410592086585
arp6,irc21,FALSE,-0.08800543499505586
arp6,mlh1,FALSE,0.16316562793032297
arp6,mlh3,FALSE,-0.11345899169278517
arp6,mms1,FALSE,-0.2746727247796511
arp6,mms2,FALSE,0.020072390778023808
arp6,mms22,FALSE,0.09820212597992783
arp6,mph1,FALSE,-0.035670290634162716
arp6,mre11,FALSE,0.11914335365132389
arp6,mus81,FALSE,0.12767527537837708
arp6,nup84,FALSE,-0.2617134400441995
arp6,pif1,FALSE,0.04479030527038763
arp6,pol30-RR,FALSE,-0.17711909965990225
arp6,pol32,TRUE,-0.6886854864728866
arp6,pso2,FALSE,-0.11970697949778109
arp6,psy2,FALSE,0.07114186740935269
arp6,psy4,FALSE,0.06072643691043411
arp6,rad1,FALSE,0.05795800913029725
arp6,rad10,FALSE,-0.0480181617113532
arp6,rad14,TRUE,0.18257105610249524
arp6,rad18,FALSE,-0.27279383957590575
arp6,rad2,FALSE,0.10637153054890058
arp6,rad23,FALSE,-0.056728343024581296
arp6,rad27,FALSE,-0.37435115318522544
arp6,rad28,FALSE,0.07581090540757851
arp6,rad50,FALSE,-0.19727623740930278
arp6,rad51,FALSE,-0.04852569757399239
arp6,rad52,FALSE,-0.25654459190017287
arp6,rad54,FALSE,-0.2530002730628993
arp6,rad57,FALSE,0.010546682873616264
arp6,rad61,FALSE,0.004682914299540597
arp6,rdh54,FALSE,0.05383023007653942
arp6,rev1,FALSE,-0.23704939871806185
arp6,rev3,FALSE,-0.039830453979807556
arp6,rev7,FALSE,-0.11148595847298948
arp6,rph1,FALSE,-0.11072451427225216
arp6,rrm3,FALSE,-0.08126981159768143
arp6,rtt101,FALSE,0.06172633259598859
arp6,rtt107,FALSE,-0.09011556896012185
arp6,rtt109,FALSE,-0.4023519709355854
arp6,saw1,FALSE,-0.08096391695892902
arp6,sgs1,FALSE,-0.21731796060576825
arp6,shu1,FALSE,-0.05938130001696351
arp6,shu2,FALSE,0.12439265480133654
arp6,sin4,FALSE,-0.02966414443468468
arp6,siz1,FALSE,-0.11326182348672331
arp6,sky1,FALSE,0.16338004615346235
arp6,slx4,FALSE,0.0014060098323259718
arp6,slx8,FALSE,-0.10298221750500891
arp6,snf2,FALSE,-0.6267046904266398
arp6,sod1,FALSE,-0.6547608918004205
arp6,srs2,FALSE,-0.14869398834564884
arp6,swi4,FALSE,-0.04022068829344572
arp6,tdp1,FALSE,0.1300047326260746
arp6,top3,FALSE,0.09211528835256522
arp6,trm10,FALSE,0.1261961322469799
arp6,ubc13,FALSE,-0.061577161576284456
arp6,vps41,FALSE,-0.3027122693253659
arp6,wss1,FALSE,-0.13134992603597884
arp6,xrs2,FALSE,0.30177858620415454
arp6,yku70,FALSE,-0.05043307116312434
arp8,aft1,FALSE,-4.787322588267117e-4
arp8,asf1,FALSE,-3.4950719669776055e-4
arp8,csm2,FALSE,0.0016362302399006178
arp8,csm3,FALSE,0.09298377463529621
arp8,ctf18,FALSE,-4.2066519569616346e-4
arp8,ctf4,FALSE,3.3396970151808975e-4
arp8,ctf8,FALSE,-6.33868311289817e-4
